location,day,meal,zone,dish,ingredients
Segundo Dining Commons,Sunday,Breakfast,Red,Waffle Bar,"Pancake and waffle syrup (Pancake and waffle syrup (corn syrup, water, natural and artificial flavor, salt, cellulose gum, potassium sorbate, caramel color, citric acid, sorbic acid)), mango chunks (Frozen mango chunks), blueberries (Frozen whole blueberries), whipped cream (Canned whipped topping (water, hydrogenated palm kernel oil, sugar. contains less than 1% of sodium caseinate, polysorbate 60, mono- and diglycerides, sorbitan monostearate, disodium phosphate, hexaglyceryl distearate, artificial flavor, carrageenan, beta carotene, nitrous oxide)), belgian waffle (4in belgian waffle (enriched wheat flour [bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid. may contain malted barley flour], water, eggs, sugar, soybean and/or canola oil, egg whites. contains less than 2% of leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate, sodium acid pyrophosphate], salt, soy lecithin, emulsifier blend [propylene glycol monoesters, mono- and diglycerides, sodium stearoyl lactylate], natural flavors [including from dairy]))"
Segundo Dining Commons,Sunday,Breakfast,Red,Scrambled Egg,"Liquid whole eggs (cage-free whole eggs, citric acid), Canola Salad Oil"
Segundo Dining Commons,Sunday,Breakfast,Red,Chicken Breakfast Sausage,"Breakfast chicken sausage (chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing)"
Segundo Dining Commons,Sunday,Breakfast,Red,Seasoned Wedge Fries,"Frozen spicy wedge cut potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid]. contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), Rice Bran Fryer Oil (NGMO rice bran oil, RDW)"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Build Your Own Omelette,"Salsa verde with red chile (Whole cleaned tomatillos, 1/4in Diced Yellow Onions, Bottled Lemon Juice, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Whole Peeled Garlic Cloves, Fresh Cilantro Sprigs, Dried Whole Guajillo Chilis), roasted house salsa (Russell ranch tomatoes (Whole roma tomatoes), Fresh Whole Green Jalapeno Peppers, Whole Peeled Yellow Onions, Fresh Whole Fresno Red Peppers, Whole Peeled Garlic Cloves, Canola Salad Oil, Fresh Whole Habanero Peppers, Fresh Cilantro Sprigs, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate)), shredded chicken (Fresh raw boneless skinless halal chicken thigh, fajita seasoning (Iodized granulated salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Onion Powder (onion powder), Vegan Fine Granulated White Sugar, Lemon Pepper Spice Mix (salt, spices, citric acid, onion, monosodium glutamate, sugar, corn starch, garlic, silicon dioxide, natural flavor, FD&amp;C yellow 5), Granulated Garlic, Domestic Paprika (paprika, silicon dioxide), Ground Cumin, Vegan Fine Granulated White Sugar, Ground White Pepper, season salt, production)), diced red bell peppers (1/4in diced red bell peppers), diced green bell peppers (1/4in diced green bell peppers), sliced cremini mushrooms (Sliced cremini mushrooms), diced yellow onions (1/4in diced yellow onions), shredded cheddar cheese (Shredded feather yellow mild cheddar cheese (cultured milk, salt, enzymes, annatto, potato starch, natamycin)), basic omelette (Liquid whole eggs (cage-free whole eggs, citric acid), Canola and Olive Oil Blend 90/10 (canola oil, extra virgin olive oil)), chorizo crumbles (Cooked chorizo crumbled (pork, water, spices, paprika, salt, dried vinegar, sugar, natural flavorings, dehydrated garlic, turmeric)), breakfast pork sausage links (Frozen precooked pork sausage link (pork, water. contains 2% or less of salt, sugar, spices, chili pepper, flavoring, smoke flavor, collagen casing)), soy chorizo crumbles (Soy chorizo sausage crumbles (water, organic textured soy protein [soy flour], organic soybean oil, organic distilled vinegar, organic seasoning [organic chile pepper, organic spices, salt, organic paprika, organic dextrose, organic ancho chile powder, organic onion powder, organic garlic powder, sea salt, natural extractives of paprika], salt, organic caramel color, natural extractives of paprika)), baked honey ham (Fresh hickory smoked boneless ham (boneless cooked pit ham, water, salt, potassium lactate, sodium lactate, sugar, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrate), Tap Water, Spicy Brown Mustard (organic vinegar, water, mustard seed, salt. Contains less than 2% of turmeric), Honey, Dried Whole Cloves), bacon (Raw 10/12 sliced pork bacon (pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite))"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Build Your Own Veggie Omelette,"Salsa verde with red chile (Whole cleaned tomatillos, 1/4in Diced Yellow Onions, Bottled Lemon Juice, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Whole Peeled Garlic Cloves, Fresh Cilantro Sprigs, Dried Whole Guajillo Chilis), roasted house salsa (Russell ranch tomatoes (Whole roma tomatoes), Fresh Whole Green Jalapeno Peppers, Whole Peeled Yellow Onions, Fresh Whole Fresno Red Peppers, Whole Peeled Garlic Cloves, Canola Salad Oil, Fresh Whole Habanero Peppers, Fresh Cilantro Sprigs, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate)), diced red bell peppers (1/4in diced red bell peppers), diced green bell peppers (1/4in diced green bell peppers), sliced cremini mushrooms (Sliced cremini mushrooms), diced yellow onions (1/4in diced yellow onions), shredded cheddar cheese (Shredded feather yellow mild cheddar cheese (cultured milk, salt, enzymes, annatto, potato starch, natamycin)), just egg - plant based (Plant-based liquid egg (water, mung bean protein, expeller-pressed canola oil. contains less than 2% of dehydrated onion, gellan gum, carrot extractives, natural flavors, turmeric extractives, potassium citrate, salt, soy lecithin, sugar, tapioca syrup solids, tetrasodium pyrophosphate, transglutaminase, nisin)), soy chorizo crumbles (Soy chorizo sausage crumbles (water, organic textured soy protein [soy flour], organic soybean oil, organic distilled vinegar, organic seasoning [organic chile pepper, organic spices, salt, organic paprika, organic dextrose, organic ancho chile powder, organic onion powder, organic garlic powder, sea salt, natural extractives of paprika], salt, organic caramel color, natural extractives of paprika)), scrambled tofu (Tofu (Firm tofu), 1/4in Diced Yellow Onions, 1/2in Diced Red Bell Peppers, 1/2in Diced Green Bell Peppers, Regular Soy Sauce (water, soybeans, wheat, salt. Contains less than 1% of sodium benzoate), Nutritional Yeast Flakes, Canola Salad Oil, Ground Turmeric, Whole Peeled Garlic Cloves)"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Fried Eggs to Order,"Whole large white eggs, Canola Salad Oil"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Scrambled Egg Whites,"Liquid egg whites (egg whites), Canola and Olive Oil Blend 90/10 (canola oil, extra virgin olive oil)"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Scrambled Tofu,"Tofu (Firm tofu), 1/4in Diced Yellow Onions, 1/2in Diced Red Bell Peppers, 1/2in Diced Green Bell Peppers, Regular Soy Sauce (water, soybeans, wheat, salt. Contains less than 1% of sodium benzoate), Nutritional Yeast Flakes, Canola Salad Oil, Ground Turmeric, Whole Peeled Garlic Cloves"
Segundo Dining Commons,Sunday,Breakfast,Yellow,Just Egg - Plant Based,"Plant-based liquid egg (water, mung bean protein, expeller-pressed canola oil. contains less than 2% of dehydrated onion, gellan gum, carrot extractives, natural flavors, turmeric extractives, potassium citrate, salt, soy lecithin, sugar, tapioca syrup solids, tetrasodium pyrophosphate, transglutaminase, nisin)"
