location,day,meal,zone,dish,ingredients
Latitude (treated as Dining Commons),Monday,Breakfast,Red,Congee Rice Porridge,"Vegetable broth (Tap water, Liquid Vegetable Soup Base (tomato juice from concentrate, salt, yeast extract, sugar, potato starch, contains 2% or less of carrot extract, natural flavors)), Tap Water, Dried Broken Grain White Calrose Rice, Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Sesame Oil, Ground White Pepper"
Latitude (treated as Dining Commons),Monday,Breakfast,Yellow,Egg Bhurji Sandwich,"Texas toast bread (unbleached enriched flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast. contains 2% or less of soybean oil, salt, wheat gluten, spices [turmeric, paprika], natural flavor, calcium propionate [preservative], potassium sorbate [preservative], wheat starch, enzymes, ascorbic acid), Liquid Whole Eggs (cage-free whole eggs, citric acid), 1/4in Diced Yellow Onions, 1/4in Diced Tomatoes, Canola and Olive Oil Blend 75/25 (75% canola oil, 25% extra virgin olive oil), Heavy Duty Mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), Fresh Fine Chopped Cilantro, Dried Ancho Chili Powder, Minced Peeled Garlic Cloves, Chopped Ginger, Whole Cumin Seeds, Garam Masala (spices, turmeric, canola oil), Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Ground Turmeric"
Latitude (treated as Dining Commons),Monday,Breakfast,Blue,Challah French Toast,"22oz challah maxs bread (enriched unbleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, sugar, eggs, yeast. contains 2% or less of extra virgin olive oil, canola oil, sea salt, datem, soybean oil, enzymes, ascorbic acid, l-cysteine hydrochloride, calcium sulfate, wheat starch), Heavy Whipping Cream (heavy cream. Contains less than 1% of carrageenan, mono- and diglycerides, polysorbate 80), Whole Strawberries, Liquid Whole Eggs (cage-free whole eggs, citric acid), Pure Maple Syrup, Vanilla Extract (water, vanilla bean extractives, alcohol), Ground Cinnamon, Dried Ground Allspice, Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Oil Pan Coating (canola oil, sunflower lecithin)"
Latitude (treated as Dining Commons),Monday,Breakfast,Blue,Plain Greek Yogurt,"Plain greek yogurt (cultured pasteurized grade a nonfat milk, cream)"
Latitude (treated as Dining Commons),Monday,Breakfast,Blue,Turkish Cardamom Pistachio Yogurt,"Plain greek yogurt (cultured pasteurized grade a nonfat milk, cream), Whole Shelled Pistachios, Extra Virgin Olive Oil, Frozen Lemon Zest, Dried Ground Cardamom (cardamom)"
Latitude (treated as Dining Commons),Monday,Breakfast,Blue,Chai Spiced Yogurt,"Plain greek yogurt (cultured pasteurized grade a nonfat milk, cream), Whole Milk, Vanilla Extract (water, vanilla bean extractives, alcohol), Ground Cinnamon, Vegan Fine Granulated White Sugar, Dried Ground Ginger (ginger, sulfur dioxide. Per manufacturer, contains sulfites), Dried Ground Cardamom (cardamom), Ground Nutmeg, Ground Coriander"
Latitude (treated as Dining Commons),Monday,Breakfast,Blue,Fresh Fruit Salad,"Fresh fruit salad (pineapple, grape, melon) (cantaloupe, honeydew, pineapple, grapes)"
Latitude (treated as Dining Commons),Monday,Lunch,Red,Guatemalan Mixta,"Miller hot dog frank (4/1 6in beef miller hot dog (beef, water, 2% or less of mustard, sea salt, natural flavors, oleoresin of paprika, sugar, potassium lactate, sodium phosphate, sodium diacetate, sodium ascorbate, sodium nitrite)), roasted house salsa (Russell ranch tomatoes (Whole roma tomatoes), Fresh Whole Green Jalapeno Peppers, Whole Peeled Yellow Onions, Fresh Whole Fresno Red Peppers, Whole Peeled Garlic Cloves, Canola Salad Oil, Fresh Whole Habanero Peppers, Fresh Cilantro Sprigs, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate)), Guacamole Southwestern (Hass avocado, tomato puree [tomatillo, citric acid, sodium benzoate], onion, brined Jalapeno puree [Jalapeno pepper, water, salt, acetic acid], salt, dehydrated red bell pepper, dehydrated garlic, dehydrated onion, sugar, citric acid, dehydrated cilantro), 4.5in White Corn Tortillas (water, stone ground corn masa flour, stone ground fresh corn. Contains less than 2% of cellulose gum, fumaric acid, potassium sorbate, calcium propionate, propionic acid, phosphoric acid, guar gum, sorbic acid, trace of lime), Shredded Red and Green Cabbage 50/50, 1/4in Diced Red Onions, Whole Queso Fresco Cheese (pasteurized grade A milk, sea salt, enzymes), Yellow Mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, natural flavor, garlic powder)"
Latitude (treated as Dining Commons),Monday,Lunch,Red,Minestrone Soup,"Minestrone soup (daylight) (water, carrots, diced tomatoes [vine-ripened fresh tomatoes, tomato juice, salt, calcium chloride, citric acid], tomato paste [vine-ripened fresh tomatoes, citric acid], onions, peas, zucchini, red potatoes, celery, white beans, macaroni [semolina [wheat], niacin, iron [ferrous sulfate], thiamin mononitrate, riboflavin, and folic acid], sea salt, canola oil, cultured dextrose, garlic, black pepper, thyme, oregano)"
Latitude (treated as Dining Commons),Monday,Lunch,Red,Miso Soup with Tofu,
Latitude (treated as Dining Commons),Monday,Lunch,Red,Chicken Tikka Masala Soup,
Latitude (treated as Dining Commons),Monday,Lunch,Yellow,Gatsby Sandwich,"6"" rustic filone hoagie (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, enriched durum flour [niacin, ferrous sulfate, thiamin mononitrate, riboflavin, folic acid], enriched bleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid]. contains 2% or less of salt, yeast, gum arabic, malt flour, guar gum, fermented rye flour, soybean oil, enzymes, dextrose, artificial flavor, ascorbic acid, l-cysteine. per manufacturer, may contain dairy, soy, and tree nuts), Fresh Thin Sliced Choice Beef Tri-Tip, 3/8in Frozen Coated Skin On Potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, sodium acid pyrophosphate, sodium bicarbonate, rice flour, salt, xanthan gum, disodium dihydrogen pyrophosphate), peri peri sauce (Canned roasted whole red peppers (roasted peppers, water, sea salt, citric acid), Fresh Cilantro Sprigs, Canola and Olive Oil Blend 90/10 (canola oil, extra virgin olive oil), Bottled Lemon Juice, Minced Peeled Garlic Cloves, Fresh Whole Habanero Peppers, Fresh Basil Leaves, Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Smoked Paprika (paprika, silicon dioxide)), Fancy Ketchup (tomato concentrate, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring), Shredded Iceberg Lettuce, Canola Salad Oil, Rice Bran Fryer Oil (NGMO rice bran oil, RDW), Coarse Flake Kosher Salt (salt, yellow prussiate of soda)"
Latitude (treated as Dining Commons),Monday,Lunch,Blue,Fettuccine Al Burro,"Frozen fettucine noodle (water, enriched durum semolina [durum semolina wheat flour, niacin, ferrous sulfate, thiamin mononitrate, riboflavin, folic acid]), Unsalted Butter (pasteurized cream, natural flavoring), Shaved Parmesan Cheese, Tap Water, Coarse Ground Black Pepper, Coarse Flake Kosher Salt (salt, yellow prussiate of soda)"
