location,day,meal,zone,dish,ingredients
Tercero Dining Commons,Monday,Breakfast,Yellow,Build Your Own Omelette || Fried Eggs to Order,"Salsa verde with red chile (Whole cleaned tomatillos, 1/4in Diced Yellow Onions, Bottled Lemon Juice, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Whole Peeled Garlic Cloves, Fresh Cilantro Sprigs, Dried Whole Guajillo Chilis), roasted house salsa (Russell ranch tomatoes (Whole roma tomatoes), Fresh Whole Green Jalapeno Peppers, Whole Peeled Yellow Onions, Fresh Whole Fresno Red Peppers, Whole Peeled Garlic Cloves, Canola Salad Oil, Fresh Whole Habanero Peppers, Fresh Cilantro Sprigs, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate)), shredded chicken (Fresh raw boneless skinless halal chicken thigh, fajita seasoning (Iodized granulated salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Onion Powder (onion powder), Vegan Fine Granulated White Sugar, Lemon Pepper Spice Mix (salt, spices, citric acid, onion, monosodium glutamate, sugar, corn starch, garlic, silicon dioxide, natural flavor, FD&amp;C yellow 5), Granulated Garlic, Domestic Paprika (paprika, silicon dioxide), Ground Cumin, Vegan Fine Granulated White Sugar, Ground White Pepper, season salt, production)), diced red bell peppers (1/4in diced red bell peppers), diced green bell peppers (1/4in diced green bell peppers), sliced cremini mushrooms (Sliced cremini mushrooms), diced yellow onions (1/4in diced yellow onions), shredded cheddar cheese (Shredded feather yellow mild cheddar cheese (cultured milk, salt, enzymes, annatto, potato starch, natamycin)), basic omelette (Liquid whole eggs (cage-free whole eggs, citric acid), Canola and Olive Oil Blend 90/10 (canola oil, extra virgin olive oil)), chorizo crumbles (Cooked chorizo crumbled (pork, water, spices, paprika, salt, dried vinegar, sugar, natural flavorings, dehydrated garlic, turmeric)), breakfast pork sausage links (Frozen precooked pork sausage link (pork, water. contains 2% or less of salt, sugar, spices, chili pepper, flavoring, smoke flavor, collagen casing)), soy chorizo crumbles (Soy chorizo sausage crumbles (water, organic textured soy protein [soy flour], organic soybean oil, organic distilled vinegar, organic seasoning [organic chile pepper, organic spices, salt, organic paprika, organic dextrose, organic ancho chile powder, organic onion powder, organic garlic powder, sea salt, natural extractives of paprika], salt, organic caramel color, natural extractives of paprika)), baked honey ham (Fresh hickory smoked boneless ham (boneless cooked pit ham, water, salt, potassium lactate, sodium lactate, sugar, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrate), Tap Water, Spicy Brown Mustard (organic vinegar, water, mustard seed, salt. Contains less than 2% of turmeric), Honey, Dried Whole Cloves), bacon (Raw 10/12 sliced pork bacon (pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite))"
Tercero Dining Commons,Monday,Breakfast,Yellow,Build Your Own Veggie Omelette,"Salsa verde with red chile (Whole cleaned tomatillos, 1/4in Diced Yellow Onions, Bottled Lemon Juice, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate), Whole Peeled Garlic Cloves, Fresh Cilantro Sprigs, Dried Whole Guajillo Chilis), roasted house salsa (Russell ranch tomatoes (Whole roma tomatoes), Fresh Whole Green Jalapeno Peppers, Whole Peeled Yellow Onions, Fresh Whole Fresno Red Peppers, Whole Peeled Garlic Cloves, Canola Salad Oil, Fresh Whole Habanero Peppers, Fresh Cilantro Sprigs, Iodized Granulated Salt (salt, sodium silicoaluminate, dextrose, potassium iodine, sodium bicarbonate)), diced red bell peppers (1/4in diced red bell peppers), diced green bell peppers (1/4in diced green bell peppers), sliced cremini mushrooms (Sliced cremini mushrooms), diced yellow onions (1/4in diced yellow onions), shredded cheddar cheese (Shredded feather yellow mild cheddar cheese (cultured milk, salt, enzymes, annatto, potato starch, natamycin)), just egg - plant based (Plant-based liquid egg (water, mung bean protein, expeller-pressed canola oil. contains less than 2% of dehydrated onion, gellan gum, carrot extractives, natural flavors, turmeric extractives, potassium citrate, salt, soy lecithin, sugar, tapioca syrup solids, tetrasodium pyrophosphate, transglutaminase, nisin)), soy chorizo crumbles (Soy chorizo sausage crumbles (water, organic textured soy protein [soy flour], organic soybean oil, organic distilled vinegar, organic seasoning [organic chile pepper, organic spices, salt, organic paprika, organic dextrose, organic ancho chile powder, organic onion powder, organic garlic powder, sea salt, natural extractives of paprika], salt, organic caramel color, natural extractives of paprika)), scrambled tofu (Tofu (Firm tofu), 1/4in Diced Yellow Onions, 1/2in Diced Red Bell Peppers, 1/2in Diced Green Bell Peppers, Regular Soy Sauce (water, soybeans, wheat, salt. Contains less than 1% of sodium benzoate), Nutritional Yeast Flakes, Canola Salad Oil, Ground Turmeric, Whole Peeled Garlic Cloves)"
Tercero Dining Commons,Monday,Breakfast,Yellow,Fried Eggs to Order,"Whole large white eggs, Canola Salad Oil"
Tercero Dining Commons,Monday,Breakfast,Yellow,Scrambled Egg Whites,"Liquid egg whites (egg whites), Canola and Olive Oil Blend 90/10 (canola oil, extra virgin olive oil)"
Tercero Dining Commons,Monday,Breakfast,Yellow,Scrambled Tofu || Just Egg - Plant Based,"Tofu (Firm tofu), 1/4in Diced Yellow Onions, 1/2in Diced Red Bell Peppers, 1/2in Diced Green Bell Peppers, Regular Soy Sauce (water, soybeans, wheat, salt. Contains less than 1% of sodium benzoate), Nutritional Yeast Flakes, Canola Salad Oil, Ground Turmeric, Whole Peeled Garlic Cloves"
Tercero Dining Commons,Monday,Breakfast,Yellow,Just Egg - Plant Based,"Plant-based liquid egg (water, mung bean protein, expeller-pressed canola oil. contains less than 2% of dehydrated onion, gellan gum, carrot extractives, natural flavors, turmeric extractives, potassium citrate, salt, soy lecithin, sugar, tapioca syrup solids, tetrasodium pyrophosphate, transglutaminase, nisin)"
Tercero Dining Commons,Monday,Breakfast,Blue,Scrambled Egg,"Liquid whole eggs (cage-free whole eggs, citric acid), Canola Salad Oil"
Tercero Dining Commons,Monday,Breakfast,Blue,Pancake Bar,"Pancake and waffle syrup (Pancake and waffle syrup (corn syrup, water, natural and artificial flavor, salt, cellulose gum, potassium sorbate, caramel color, citric acid, sorbic acid)), mango chunks (Frozen mango chunks), blueberries (Frozen whole blueberries), whipped cream (Canned whipped topping (water, hydrogenated palm kernel oil, sugar. contains less than 1% of sodium caseinate, polysorbate 60, mono- and diglycerides, sorbitan monostearate, disodium phosphate, hexaglyceryl distearate, artificial flavor, carrageenan, beta carotene, nitrous oxide)), plain pancake (4in plain pancakes (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, water, sugar, vegetable oil {soybean and/or canola}, buttermilk. contains 2% or less of leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], salt, fructose, soy lecithin, eggs, iron, vitamin a palmitate, vitamin b6, vitamin b12)), chocolate chips (Semi sweet chocolate chips (sugar, chocolate, cocoa butter, milk fat, soy lecithin, vanillin, artificial flavor, milk))"
Tercero Dining Commons,Monday,Breakfast,Blue,Sticky Rice,"Dried white calrose rice, Tap Water"
Tercero Dining Commons,Monday,Breakfast,Blue,Chorizo Sausage Patties,"Sausage patty pork chorizo cooked (pork, spices, salt, paprika, sugar, dried garlic, natural flavor, paprika extract, water)"
Tercero Dining Commons,Monday,Breakfast,Blue,Fried Tater Tots,"Tater tots (potatoes, vegetable oil [soybean, canola, and/or cottonseed oils]. contains less than 2% of dextrose, salt, disodium dihydrogen pyrophosphate), Rice Bran Fryer Oil (NGMO rice bran oil, RDW)"
Tercero Dining Commons,Monday,Breakfast,Blue,Pancake Bar,"Pancake and waffle syrup (Pancake and waffle syrup (corn syrup, water, natural and artificial flavor, salt, cellulose gum, potassium sorbate, caramel color, citric acid, sorbic acid)), mango chunks (Frozen mango chunks), blueberries (Frozen whole blueberries), whipped cream (Canned whipped topping (water, hydrogenated palm kernel oil, sugar. contains less than 1% of sodium caseinate, polysorbate 60, mono- and diglycerides, sorbitan monostearate, disodium phosphate, hexaglyceryl distearate, artificial flavor, carrageenan, beta carotene, nitrous oxide)), plain pancake (4in plain pancakes (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, water, sugar, vegetable oil {soybean and/or canola}, buttermilk. contains 2% or less of leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], salt, fructose, soy lecithin, eggs, iron, vitamin a palmitate, vitamin b6, vitamin b12)), chocolate chips (Semi sweet chocolate chips (sugar, chocolate, cocoa butter, milk fat, soy lecithin, vanillin, artificial flavor, milk))"
Tercero Dining Commons,Monday,Breakfast,Green,Overnight Oats,"Vanilla soy milk (organic soy base [water, organic soybeans], cane sugar. contains 1% or less of carrageenan, dipotassium phosphate, expeller-pressed canola oil, natural vanilla flavor with other natural flavors, sea salt, sodium citrate), Old Fashioned Rolled Oats (whole grain oats. Per manufacturer, may contain soy and wheat/gluten), Vanilla Greek Yogurt (cultured pasteurized grade A nonfat milk, water, sugar, fructose, modified food starch, natural flavor, citric acid, vanilla extract), Canned Coconut Milk, plain steamed quinoa (Tap water, Dried Tricolor Quinoa), Vegan Fine Granulated White Sugar, Honey, Chia Seeds, Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Ground Cinnamon"
Tercero Dining Commons,Monday,Breakfast,Green,Oatmeal,"Tap water, Old Fashioned Rolled Oats (whole grain oats. Per manufacturer, may contain soy and wheat/gluten), Coarse Flake Kosher Salt (salt, yellow prussiate of soda)"
Tercero Dining Commons,Monday,Breakfast,Green,Boiled Eggs,Whole large white eggs
Tercero Dining Commons,Monday,Breakfast,Green,Congee Rice Porridge,"Vegetable broth (Tap water, Paste Vegetable Soup Base (onions, celery, carrots, maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika)), Tap Water, Firm Tofu, Dried Broken Grain White Calrose Rice, Coarse Flake Kosher Salt (salt, yellow prussiate of soda), Sesame Oil, Ground White Pepper"
Tercero Dining Commons,Monday,Breakfast,Green,BYO Parfait,"Fresh fruit salad (Fresh fruit salad (pineapple, grape, melon) (cantaloupe, honeydew, pineapple, grapes)), local granola (Virtue premium granola (rolled oats, sunflower seeds, coconut, organic coconut oil, organic maple syrup, cinnamon, sea salt)), granola with dried fruits (Fruit granola (whole grain oats, sugar, raisins, crisp rice [rice flour, barley malt extract, salt], canola oil, cranberries, rice flour, molasses, honey, salt, baking soda, sunflower oil, natural flavor, vitamin e [mixed tocopherols] added to preserve freshness)), plain greek nonfat yogurt (Non-fat plain greek yogurt (cultured pasteurized grade a nonfat milk)), plain greek yogurt (Plain greek yogurt (cultured pasteurized grade a nonfat milk, cream)), plain yogurt (Plain yogurt (cultured pasteurized grade a low-fat milk, modified corn starch, kosher gelatin. live and active yogurt cultures: s. thermophilus, l. acidophilus, l. bulgaricus, b. lactis)), strawberry greek nonfat yogurt (Low fat strawberry yogurt (cultured grade a low-fat milk, sugar, modified corn starch. contains 1% or less of corn starch, citric acid, vegetable juice, natural flavor, potassium sorbate added to maintain freshness, vitamin a acetate, vitamin d3)), vanilla greek yogurt (Vanilla greek yogurt (cultured pasteurized grade a nonfat milk, water, sugar, fructose, modified food starch, natural flavor, citric acid, vanilla extract)), cottage cheese (Cottage cheese (cultured pasteurized nonfat milk, pasteurized milk, pasteurized cream, sea salt, stabilizer [nonfat milk, locust bean gum, agar], vitamin a palmitate, carbon dioxide. per manufacturer, milk or milk products, egg, soy, wheat (gluten), peanuts, tree nuts present at the same site; milk or milk products, egg, soy present in other products manufactured on the same line and present on other manufacturing lines in the same plant)), blueberries (Frozen whole blueberries), strawberries (Whole strawberries), sliced pears (Canned sliced pears in juice (pears, water, pear juice concentrate)), watermelon (Fresh whole red watermelon)"
Tercero Dining Commons,Monday,Breakfast,Pink,Assorted Loaf Cakes,"Cinnamon streusel loaf cake (from assorted) (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sugar, buttermilk, butter, eggs, brown sugar, margarine [soybean oil, palm oil, water, salt, mono- and diglycerides, nonfat dry milk, sunflower lecithin, natural flavor, vitamin a palmitate, beta carotene], walnuts, maltitol powder, natural madagascar vanilla, water, baking powder [sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate], salt, baking soda, cinnamon, soybean oil. per manufacturer, manufactured in a facility that processes peanuts/nuts), Lemon Glazed Loaf Cake (from assorted) (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sugar, buttermilk, butter, eggs, maltitol syrup, water, margarine [soybean oil, palm oil, water, salt, mono- and diglycerides, nonfat dry milk, sunflower lecithin, natural flavor, vitamin A palmitate, beta carotene], lemon peel [lemon peel zest, cane sugar, lemon oil essence], lemon juice concentrate, maltitol powder, salt, baking soda, corn starch, soybean oil. Per manufacturer, manufactured in a facility that processes peanuts/nuts), Marble Chocolate Chip Loaf Cake (from assorted) (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sugar, chocolate [sugar, unsweetened chocolate {processed with alkali}, cocoa butter, whole milk powder, nonfat dry milk, dextrose, soy lecithin, vanilla, natural vanilla extract], buttermilk, butter, eggs, margarine [soybean oil, palm oil, water, salt, mono- and diglycerides, nonfat dry milk, sunflower lecithin, natural flavor, vitamin A palmitate, beta carotene], evaporated milk [milk, vitamin D3], glucose, maltitol powder, natural Madagascar vanilla, baking powder [sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate], coconut oil, salt, baking soda, water, sunflower lecithin, soybean oil. Per manufacturer, manufactured in a facility that processes peanuts/nuts), Orange Poppy Loaf Cake (from assorted) (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sugar, buttermilk, eggs, butter, cream cheese [milk, cream, salt, carob bean gum, cheese cultures], poppy seeds, margarine [soybean oil, palm oil, water, salt, mono- and diglycerides, nonfat dry milk, sunflower lecithin, natural flavor, vitamin A palmitate, beta carotene], orange juice concentrate [water, orange juice concentrate, ascorbic acid], orange peel [orange peel zest, cane sugar, orange oil essence], maltitol powder, natural Madagascar vanilla, baking powder [sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate], maltitol syrup, salt, baking soda, modified tapioca starch, soybean oil. Per manufacturer, manufactured in a facility that processes peanuts/nuts)"
Tercero Dining Commons,Monday,Breakfast,Pink,Raised Chocolate Donut,"Raised chocolate donut fluffy (bleached enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin, riboflavin, folic acid], soybean oil, nonfat dry milk, dextrose, mono- and diglycerides. contains 2% or less of each of the following: salt, sugar, baking powder [sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate], sodium acid pyrophosphate, sodium bicarbonate, cellulose gum, dried egg yolks, beta carotene [color], natural and artificial flavor, natural flavorings, soy flour, yeast, sorbitan monostearate, ascorbic acid. shortening: vegetable oils. glaze: chocolate: natural cocoa, vegetable shortening [soybean oil, vegetable mono- and diglycerides, tocopherols {vitamin e} and vitamin c palmitate {as antioxidants}, soybean oil, sugar, soy lecithin, cocoa {processed with alkali}. contains 2% or less of each of the following: monoglycerides, emulsifier {water, mono- and diglycerides, polyglycerol esters, diacetyl tartaric acid esters of mono- and diglycerides, natural flavor, salt, corn starch, artificial flavor}], sugar, maltodextrin)"
Tercero Dining Commons,Monday,Breakfast,Pink,Old Fashioned Plain Donut,"Old fashioned plain donut fluffy (enriched wheat flour [wheat flour, enriched with niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sugar, dextrose, soybean oil, nonfat dry milk. contains 2% or less of each of the following: defatted soy flour [contains soy lecithin], leavening [sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate], dried egg yolks, potato flour, salt, soy lecithin, natural and artificial flavor. shortening: vegetable oils)"
Tercero Dining Commons,Monday,Breakfast,Pink,Cinnamon Sugar Cake Donut,"Vegan cinnamon sugar cake donut fluffy (enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour, ascorbic acid], sugar, soybean oil, defatted soy flour, modified starch, leavening [sodium acid pyrophosphate, sodium bicarbonate], salt, dextrose, natural and artificial flavors, soy lecithin, sodium stearoyl lactylate, cellulose gum, korintje cinnamon)"
Tercero Dining Commons,Monday,Breakfast,Pink,Coconut Cake Donut,"Vegan coconut cake donut fluffy (enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour, ascorbic acid], sugar, soybean oil, defatted soy flour, modified starch, leavening [sodium acid pyrophosphate, sodium bicarbonate], salt, dextrose, natural and artificial flavors, soy lecithin, sodium stearoyl lactylate, cellulose gum. winter white icing ingredients: sugar, water, corn syrup. contains 2% or less of palm oil, mono- and diglycerides, titanium dioxide, salt, citric acid, locust bean gum, agar, corn starch, potassium sorbet [as preservatives], natural and artificial flavor. sweetened coconut flake ingredients: desiccated coconut, sugar [with cornstarch], water, propylene glycol, salt and sodium metabisulfite)"
Tercero Dining Commons,Monday,Breakfast,Pink,Blueberry Muffin,"Small blueberry muffin (sugar, enriched wheat flour bleached [flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], modified food starch, soybean oil, dry whey, sodium aluminum phosphate, baking soda, salt, vital wheat gluten, propylene glycol mono- and diglycerides of fatty acids, mono- and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid, alpha tocopherol, citric acid, blueberries, eggs, soybean salad oil, water, potassium sorbate. per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat/gluten, soy, coconut, and sesame)"
Tercero Dining Commons,Monday,Breakfast,Pink,Cinnamon Rolls with Cream Cheese Frosting,"Cinnamon roll with cream cheese frosting (unbleached enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], milk, butter [pasteurized cream {milk}, natural flavors], pure cane sugar, yeast, salt, cream cheese [pasteurized cultured milk and cream, salt, stabilizers {xanthan and/or carob bean and/or guar gums}, spices. per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat/gluten, soy, coconut, and sesame)"
Tercero Dining Commons,Monday,Breakfast,Pink,Everything Bagel,"Mini everything bagel (enriched unbleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, brown sugar, malt [corn, malted barley], salt, enzyme [wheat flour, enzymes, ascorbic acid], yeast [yeast, sorbitan monostearate, ascorbic acid. contains 2% or less of enzymes, soybean oil], vinegar, poppy seeds, sesame seeds, sunflower seeds. per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat/gluten, soy, coconut, and sesame)"
Tercero Dining Commons,Monday,Breakfast,Pink,Plain Bagel,"Mini plain bagel (enriched unbleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, brown sugar, malt [corn syrup, malt syrup], salt, enzyme [wheat flour, enzymes, ascorbic acid], yeast [yeast, sorbitan monostearate, ascorbic acid], dough improver [wheat flour, monoglycerdides, ascorbic acid. contains 2% or less of enzymes, soybean oil], vinegar. per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat/gluten, soy, coconut, and sesame)"
Tercero Dining Commons,Monday,Lunch,Red,Grass-Fed Cheeseburger,"Cream co grass-fed beef patty, 4in Plain with Sesame Seeds Hamburger Bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, sugar, yeast, soybean oil. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, calcium sulfate, enzymes, calcium propionate, sesame seeds), American Cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
